date,ip,city,province
2016/10/17 0:02,117.136.40.146,广州市,广东省
2016/10/17 0:03,112.74.175.74,深圳市,广东省
2016/10/17 0:03,117.136.41.112,广州市,广东省
2016/10/17 0:03,120.197.202.14,佛山市,广东省
2016/10/17 0:03,117.136.40.134,广州市,广东省
2016/10/17 0:03,120.197.200.35,佛山市,广东省
2016/10/17 0:03,117.136.41.81,广州市,广东省
2016/10/17 0:04,117.136.79.149,佛山市,广东省
2016/10/17 0:04,117.136.79.6,佛山市,广东省
2016/10/17 0:04,117.136.40.114,广州市,广东省
2016/10/17 0:05,120.197.198.87,佛山市,广东省
2016/10/17 0:05,117.136.32.48,广州市,广东省
2016/10/17 0:05,223.104.63.3,北京市,北京市
2016/10/17 0:06,112.74.173.239,深圳市,广东省
2016/10/17 0:06,120.197.198.87,佛山市,广东省
2016/10/17 0:06,120.197.198.32,佛山市,广东省
2016/10/17 0:06,221.179.85.205,深圳市,广东省
2016/10/17 0:07,117.136.41.27,广州市,广东省
2016/10/17 0:07,117.136.79.187,佛山市,广东省
2016/10/17 0:07,120.197.198.76,佛山市,广东省
2016/10/17 1:03,117.136.33.129,广州市,广东省
2016/10/17 1:04,120.77.39.66,深圳市,广东省
2016/10/17 1:04,117.136.79.44,佛山市,广东省
2016/10/17 1:04,117.136.79.70,佛山市,广东省
2016/10/17 1:04,120.197.202.48,佛山市,广东省
2016/10/17 1:05,117.136.41.40,广州市,广东省
2016/10/17 1:05,223.104.1.118,广州市,广东省
2016/10/17 1:06,223.104.1.179,广州市,广东省
2016/10/17 1:06,117.136.40.20,广州市,广东省
2016/10/17 1:06,223.104.1.121,广州市,广东省
2016/10/17 1:07,117.136.41.91,广州市,广东省
2016/10/17 1:07,117.136.79.237,佛山市,广东省
2016/10/17 1:07,117.136.79.136,佛山市,广东省
2016/10/17 1:07,117.136.79.147,佛山市,广东省
2016/10/17 1:07,120.197.202.75,佛山市,广东省
2016/10/17 1:08,120.197.202.75,佛山市,广东省
2016/10/17 1:08,117.136.41.33,广州市,广东省
2016/10/17 1:08,117.136.40.32,广州市,广东省
2016/10/17 1:08,117.136.32.110,广州市,广东省
2016/10/17 1:09,117.136.40.153,广州市,广东省
2016/10/17 1:09,117.136.40.247,广州市,广东省
2016/10/17 1:10,117.136.40.36,广州市,广东省
2016/10/17 2:02,117.136.79.223,佛山市,广东省
2016/10/17 2:03,223.104.1.143,广州市,广东省
2016/10/17 2:03,117.136.31.139,广州市,广东省
2016/10/17 2:04,117.136.79.64,佛山市,广东省
2016/10/17 2:04,117.136.40.59,广州市,广东省
2016/10/17 2:05,223.104.63.46,北京市,北京市
2016/10/17 2:05,117.136.41.31,广州市,广东省
2016/10/17 2:05,120.77.39.66,深圳市,广东省
2016/10/17 2:06,117.136.79.163,佛山市,广东省
2016/10/17 2:06,117.136.12.108,广州市,广东省
2016/10/17 2:06,117.136.41.49,广州市,广东省
2016/10/17 2:06,223.104.63.51,北京市,北京市
2016/10/17 2:06,117.136.79.61,佛山市,广东省
2016/10/17 2:07,117.136.39.223,广州市,广东省
2016/10/17 3:04,117.136.79.44,佛山市,广东省
2016/10/17 3:05,117.136.79.107,佛山市,广东省
2016/10/17 3:06,223.104.1.113,广州市,广东省
2016/10/17 3:06,117.136.39.226,广州市,广东省
2016/10/17 3:07,117.136.40.225,广州市,广东省
2016/10/17 3:07,223.104.63.15,北京市,北京市
2016/10/17 3:08,120.197.87.29,广州市,广东省
2016/10/17 3:08,117.136.31.138,广州市,广东省
2016/10/17 3:08,223.104.1.209,广州市,广东省
2016/10/17 3:09,117.136.39.202,广州市,广东省
2016/10/17 4:04,120.197.193.94,佛山市,广东省
2016/10/17 4:04,117.136.79.150,佛山市,广东省
2016/10/17 4:04,112.74.161.154,深圳市,广东省
2016/10/17 4:05,223.104.63.50,北京市,北京市
2016/10/17 4:07,117.136.31.213,广州市,广东省
2016/10/17 4:07,117.136.79.47,佛山市,广东省
2016/10/17 5:03,117.136.79.75,佛山市,广东省
2016/10/17 5:04,223.104.1.137,广州市,广东省
2016/10/17 5:05,223.104.63.7,北京市,北京市
2016/10/17 5:05,120.197.198.84,佛山市,广东省
2016/10/17 6:03,223.104.1.238,广州市,广东省
2016/10/17 6:03,223.104.1.252,广州市,广东省
2016/10/17 6:04,223.104.63.49,北京市,北京市
2016/10/17 6:04,117.136.79.226,佛山市,广东省
2016/10/17 6:05,223.104.1.193,广州市,广东省
2016/10/17 6:05,117.136.39.218,广州市,广东省
2016/10/17 6:06,117.136.40.112,广州市,广东省
2016/10/17 6:07,120.197.198.10,佛山市,广东省
2016/10/17 6:08,120.197.194.55,佛山市,广东省
2016/10/17 6:09,117.136.79.102,佛山市,广东省
2016/10/17 6:09,117.136.79.183,佛山市,广东省
2016/10/17 7:03,117.136.32.100,广州市,广东省
2016/10/17 7:04,120.197.196.35,佛山市,广东省
2016/10/17 7:04,117.136.32.98,广州市,广东省
2016/10/17 7:04,117.136.79.217,佛山市,广东省
2016/10/17 7:05,117.136.79.185,佛山市,广东省
2016/10/17 7:05,117.136.41.62,广州市,广东省
2016/10/17 7:05,117.136.79.160,佛山市,广东省
2016/10/17 7:06,223.104.1.218,广州市,广东省
2016/10/17 7:06,112.74.173.11,深圳市,广东省
2016/10/17 7:07,117.136.31.215,广州市,广东省
2016/10/17 7:07,117.136.41.103,广州市,广东省
2016/10/17 8:03,223.104.1.234,广州市,广东省
2016/10/17 8:04,117.136.41.109,广州市,广东省
2016/10/17 8:04,120.197.196.4,佛山市,广东省
2016/10/17 8:04,223.104.1.131,广州市,广东省
2016/10/17 8:04,117.136.40.149,广州市,广东省
2016/10/17 8:05,117.136.41.42,广州市,广东省
2016/10/17 8:05,117.136.40.58,广州市,广东省
2016/10/17 8:06,117.136.12.110,广州市,广东省
2016/10/17 8:06,117.136.39.217,广州市,广东省
2016/10/17 8:08,223.104.1.145,广州市,广东省
2016/10/17 8:08,117.136.40.202,广州市,广东省
2016/10/17 8:08,117.136.31.128,广州市,广东省
2016/10/17 8:08,120.197.202.31,佛山市,广东省
2016/10/17 8:09,112.74.50.216,深圳市,广东省
2016/10/17 8:09,117.136.32.106,广州市,广东省
2016/10/17 8:09,117.136.31.137,广州市,广东省
2016/10/17 8:09,117.136.79.101,佛山市,广东省
2016/10/17 8:10,117.136.39.211,广州市,广东省
2016/10/17 9:03,117.136.40.19,广州市,广东省
2016/10/17 9:03,117.136.79.220,佛山市,广东省
2016/10/17 9:04,223.104.63.56,北京市,北京市
2016/10/17 9:04,117.136.79.127,佛山市,广东省
2016/10/17 9:04,117.136.40.63,广州市,广东省
2016/10/17 9:04,117.136.79.222,佛山市,广东省
2016/10/17 9:06,117.136.41.40,广州市,广东省
2016/10/17 9:06,223.104.1.241,广州市,广东省
2016/10/17 9:06,120.197.193.108,佛山市,广东省
2016/10/17 9:07,223.104.1.122,广州市,广东省
2016/10/17 9:07,117.136.40.227,广州市,广东省
2016/10/17 9:07,112.74.164.37,深圳市,广东省
2016/10/17 9:07,118.178.137.188,深圳市,广东省
2016/10/17 9:07,117.136.79.86,佛山市,广东省
2016/10/17 9:08,117.136.32.55,广州市,广东省
2016/10/17 9:09,120.76.240.3,深圳市,广东省
2016/10/17 9:09,117.136.32.80,广州市,广东省
2016/10/17 9:10,223.104.1.118,广州市,广东省
2016/10/17 9:10,112.74.162.46,深圳市,广东省
2016/10/17 10:02,117.136.79.9,佛山市,广东省
2016/10/17 10:02,117.136.31.209,广州市,广东省
2016/10/17 10:03,117.136.32.28,广州市,广东省
2016/10/17 10:03,223.104.63.63,北京市,北京市
2016/10/17 10:03,223.104.1.193,广州市,广东省
2016/10/17 10:04,117.136.40.16,广州市,广东省
2016/10/17 10:04,117.136.79.242,佛山市,广东省
2016/10/17 10:04,117.136.40.63,广州市,广东省
2016/10/17 10:05,117.136.79.40,佛山市,广东省
2016/10/17 10:05,223.104.1.230,广州市,广东省
2016/10/17 10:05,117.136.39.203,广州市,广东省
2016/10/17 10:06,223.104.1.202,广州市,广东省
2016/10/17 10:06,117.136.31.128,广州市,广东省
2016/10/17 10:06,223.104.1.223,广州市,广东省
2016/10/17 10:07,120.197.193.40,佛山市,广东省
2016/10/17 10:08,117.136.32.53,广州市,广东省
2016/10/17 10:09,223.104.63.10,北京市,北京市
2016/10/17 10:09,120.76.210.243,深圳市,广东省
2016/10/17 10:09,120.197.199.19,佛山市,广东省
2016/10/17 10:09,117.136.79.222,佛山市,广东省
2016/10/17 10:10,117.136.40.243,广州市,广东省
2016/10/17 11:04,117.136.39.231,广州市,广东省
2016/10/17 11:04,117.136.41.54,广州市,广东省
2016/10/17 11:04,117.136.79.133,佛山市,广东省
2016/10/17 11:04,117.136.41.58,广州市,广东省
2016/10/17 11:04,120.76.222.231,深圳市,广东省
2016/10/17 11:04,117.136.79.169,佛山市,广东省
2016/10/17 11:04,120.197.193.40,佛山市,广东省
2016/10/17 11:05,117.136.40.56,广州市,广东省
2016/10/17 11:05,117.136.40.145,广州市,广东省
2016/10/17 11:06,120.197.195.115,佛山市,广东省
2016/10/17 11:06,120.197.200.75,佛山市,广东省
2016/10/17 11:06,117.136.79.69,佛山市,广东省
2016/10/17 11:06,117.136.41.49,广州市,广东省
2016/10/17 11:07,117.136.31.143,广州市,广东省
2016/10/17 11:07,117.136.79.242,佛山市,广东省
2016/10/17 11:07,117.136.41.120,广州市,广东省
2016/10/17 11:08,117.136.40.231,广州市,广东省
2016/10/17 11:08,117.136.79.108,佛山市,广东省
2016/10/17 11:08,117.136.12.110,广州市,广东省
2016/10/17 11:08,117.136.12.109,广州市,广东省
2016/10/17 11:09,117.136.79.222,佛山市,广东省
2016/10/17 11:10,117.136.79.98,佛山市,广东省
2016/10/17 11:10,117.136.32.88,广州市,广东省
2016/10/17 11:10,223.104.1.135,广州市,广东省
2016/10/17 11:10,117.136.31.222,广州市,广东省
2016/10/17 11:10,117.136.40.128,广州市,广东省
2016/10/17 11:10,120.197.196.42,佛山市,广东省
2016/10/17 11:10,223.104.63.28,北京市,北京市
2016/10/17 11:10,117.136.41.72,广州市,广东省
2016/10/17 11:11,117.136.79.16,佛山市,广东省
2016/10/17 12:02,120.197.202.37,佛山市,广东省
2016/10/17 12:03,117.136.32.25,广州市,广东省
2016/10/17 12:03,117.136.40.130,广州市,广东省
2016/10/17 12:03,223.104.1.152,广州市,广东省
2016/10/17 12:03,120.197.200.11,佛山市,广东省
2016/10/17 12:03,223.104.1.179,广州市,广东省
2016/10/17 12:03,120.197.196.62,佛山市,广东省
2016/10/17 12:03,117.136.32.98,广州市,广东省
2016/10/17 12:03,223.104.1.149,广州市,广东省
2016/10/17 12:03,117.136.79.158,佛山市,广东省
2016/10/17 12:03,120.197.198.25,佛山市,广东省
2016/10/17 12:03,117.136.79.72,佛山市,广东省
2016/10/17 12:04,117.136.79.152,佛山市,广东省
2016/10/17 12:04,120.197.198.32,佛山市,广东省
2016/10/17 12:04,117.136.79.170,佛山市,广东省
2016/10/17 12:04,120.197.199.56,佛山市,广东省
2016/10/17 12:04,223.104.1.203,广州市,广东省
2016/10/17 12:04,117.136.41.72,广州市,广东省
2016/10/17 12:04,117.136.79.29,佛山市,广东省
2016/10/17 12:05,117.136.40.60,广州市,广东省
2016/10/17 12:05,117.136.41.73,广州市,广东省
2016/10/17 12:05,117.136.79.113,佛山市,广东省
2016/10/17 12:05,223.104.63.10,北京市,北京市
2016/10/17 12:05,120.197.202.15,佛山市,广东省
2016/10/17 12:05,120.197.194.12,佛山市,广东省
2016/10/17 12:05,120.197.200.32,佛山市,广东省
2016/10/17 12:06,117.136.79.179,佛山市,广东省
2016/10/17 12:07,223.104.1.111,广州市,广东省
2016/10/17 12:07,120.197.202.84,佛山市,广东省
2016/10/17 12:07,117.136.79.3,佛山市,广东省
2016/10/17 12:07,117.136.31.221,广州市,广东省
2016/10/17 12:08,223.104.63.59,北京市,北京市
2016/10/17 12:08,117.136.79.7,佛山市,广东省
2016/10/17 13:03,112.74.186.214,深圳市,广东省
2016/10/17 13:04,120.76.214.7,深圳市,广东省
2016/10/17 13:04,223.104.63.55,北京市,北京市
2016/10/17 13:04,120.197.193.42,佛山市,广东省
2016/10/17 13:04,120.76.240.79,深圳市,广东省
2016/10/17 13:04,117.136.40.17,广州市,广东省
2016/10/17 13:05,117.136.31.141,广州市,广东省
2016/10/17 13:05,117.136.41.78,广州市,广东省
2016/10/17 13:05,117.136.40.53,广州市,广东省
2016/10/17 13:06,117.136.40.164,广州市,广东省
2016/10/17 13:06,120.197.196.86,佛山市,广东省
2016/10/17 13:06,117.136.40.23,广州市,广东省
2016/10/17 13:06,117.136.40.198,广州市,广东省
2016/10/17 13:07,117.136.40.152,广州市,广东省
2016/10/17 13:07,120.197.193.35,佛山市,广东省
2016/10/17 13:07,117.136.41.99,广州市,广东省
2016/10/17 13:08,117.136.79.98,佛山市,广东省
2016/10/17 13:08,117.136.79.0,佛山市,广东省
2016/10/17 13:08,117.136.40.210,广州市,广东省
2016/10/17 13:08,223.104.1.127,广州市,广东省
2016/10/17 13:09,117.136.33.161,广州市,广东省
2016/10/17 13:09,223.104.1.18,深圳市,广东省
2016/10/17 13:09,112.74.170.225,深圳市,广东省
2016/10/17 13:10,117.136.41.110,广州市,广东省
2016/10/17 13:10,117.136.31.191,广州市,广东省
2016/10/17 13:10,120.197.202.40,佛山市,广东省
2016/10/17 13:10,112.74.50.108,深圳市,广东省
