词典词	类别	别名
沙发	品类	
床	品类	
韩式	风格	韩式风格
儿童床	品类	
电脑桌	品类	
沙发床	品类	
鞋柜	品类	
床垫	品类	
衣柜	品类	
电视柜	品类	
灯	品类	
餐桌	品类	
书桌	品类	
榻榻米		
茶几	品类	
双层		多层
书柜	品类	
窗帘	品类	
布艺	材质	布
地毯	品类	
上下		高低、多层
墙纸	品类	
酒柜	品类	
梳妆台	品类	
床头柜	品类	
椅子	品类	
高低		上下、多层
摇椅	品类	
实木	材质	
壁纸	品类	
单人		
高箱		
玄关		
折叠		
电视墙		
穿衣镜	品类	
吧台		
门	品类	
橱柜		
双人		多人
电脑椅		电脑椅子
地板	品类	
瓷砖	品类	
书架	品类	
隔断		
字母		
五斗柜		
浴缸	品类	
台灯	品类	
浴室柜	品类	
吊灯	品类	
实木		
美式	风格	
藤椅		
懒人		
衣帽架	品类	
真皮	材质	
镜子		
灯具		
四件套		
餐边柜	品类	
贵妃椅		
欧式		
花架		
1.8米		
地砖		瓷砖
办公桌	品类	
桌子		
地中海		地中海风格
凯撒豪庭	品牌	
淋浴房	品类	
双层		上下、多层、高低
斗柜	品类	
晾衣架		
马桶		
上下		
这贴		
现代	风格	
家具	品类	
置物架	品类	
欧式	风格	
公主		
衣架		
间厅柜		
实木		
单人		
落地灯		
地板砖		瓷砖
楼梯		
灯饰		
躺椅		
儿童房		
沙发垫		
儿童桌		
卫生间		
吸顶灯		
餐椅		
写字台		
水晶灯		
洗脸盆		
妆台		
秋千		
水龙头		
现代		
转角		
办公家具		
折叠		可折叠
角柜		
红苹果		
柜子		
收纳柜		
凳子		
实木		
储物		
卫浴		
杂志架		
射灯		
水槽		
鞋架		
地漏		
茶几		
欧式风格		
床单		
布艺		
电话		
吊篮		
折叠椅		
玄关		
试衣镜		
皮		皮艺
相框		
脚踏		
家具		
美式风格		
抱枕		
地柜		
席梦思		
多功能		
储物柜		
韩式田园		
换鞋凳		鞋凳
休闲椅		
韩菲尔		
布		布艺
饰品		
办公椅		
空调		
1.2米		
冰箱		
吊柜		
书房		
照片墙		
座便器		
卧室		
电视		
阳台		
强化		
转椅		
铁艺		
多功能		
衣柜		
转角		
书桌		
开关		
电脑台		
凉席		
组合柜		
推拉门		
韩式		
软床		
全身镜		
大理石		
衣帽间		
折叠桌		
蚊帐		
高箱		
客厅		
推拉门		
松木		
壁灯		
茶具		
简易		
隔板		
床尾凳		
电脑		
简欧		
角几		
画		
化妆台		
特价		
藤		
隔断柜		
1.5米		
床上用品		
中式		
新古典		
衣橱		
首饰盒		
双人		
沙发床		
地垫		
被套		
宝宝		婴儿床
左右		
插座		
双层		
插座		
洗手盆		洗脸盆
枕头		
卡富亚		
客厅		
收纳		
圆		圆形
大理石		
衣柜门		
榆木		
挂衣架		晾衣架
油漆		
钟		钟表
小户型		
床品套件		
酒架		
写字桌		书桌
毛巾		
电视机		
功能		多功能
筒灯		
休闲		
电脑书桌		
地毯		
桌布		
餐具		
蒂美悦		
2米		
复合地板		
珠帘		
装饰柜		
吧椅		
婴儿		宝宝
欧普		
现代		
隔断		
电脑柜		
抽屉		
马赛克		
大自然		
床头灯		
面盆		洗脸盆
收纳箱		
田园		
美式		
窗		
三人		
仿古		
公主		
门锁		
组合		
法式		
吊扇灯		
套装		
真皮		
韩式		
两门		
组合柜		
多功能		
软包		
沙发椅		
玻璃		
组合		
餐厅灯		
地中海风格		
腾		
贵妃		
花瓶		
收纳		储物
日式		
被子		
